Schools,Hospitals,Restaurants,Shopping Malls,Parks,Theaters,Banks,Supermarkets,Metro Stations,Pharmacies,Gyms,Libraries,ATMs,Pet Stores,Electronics Stores,Toy Stores,Bookstores,Hardware Stores,Gas Stations,Hotels,Area,Cluster,Price,amenities
3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,Mahavir Nagar,3,20000000,Best
3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,Subhash Nagar,3,20000000,Best
3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,Vithal Wadi,3,20000000,Best
3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Godrej Station Colony,1,8000000,Good
3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,Panjrapole Lane,2,10000000,Best
3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,Charni Road,2,10000000,Best
4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,National Library Road,0,5000000,Low
4.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,Pali Naka,0,5000000,Low
2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,Shastri Nagar,2,10000000,Best
3.0,3.0,25.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,25.0,4.0,DR. Ambedkar Road,4,30000000,Best
4.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,Evershine Nagar,0,5000000,Low
3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,D.N. Nagar,2,10000000,Best
3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,Chedda Nagar,3,20000000,Best
3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,Taxi Stand,3,20000000,Best
3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,Sunder Nagar,3,20000000,Best
4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,16th Road,2,10000000,Best
3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,0.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,BPT Colony,3,20000000,Best
4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,0.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,Bandra Worli Sea Link,1,8000000,Good
3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,0.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,Natwar Nagar,3,20000000,Best
